,inputs,outputs,predictions
0,where's the nearest parking garage,the nearest parking garage is dish parking at Dish_Parking_address. would you like directions there?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> want is address directions <unk> <eos>
1,"where's the nearest parking garage the nearest parking garage is dish parking at Dish_Parking_address. would you like directions there?  yes, please set directions via a route that avoids all heavy traffic if possible.",it looks like there is a road block being reported on the route but i will still find the quickest route to Dish_Parking_address.,<pad> <pad> <pad> <pad> being reported on the route but i will still find the quickest route to Dish_Parking_address <eos>
2,"where's the nearest parking garage the nearest parking garage is dish parking at Dish_Parking_address. would you like directions there?  yes, please set directions via a route that avoids all heavy traffic if possible.  it looks like there is a road block being reported on the route but i will still find the quickest route to Dish_Parking_address.  thanks so much for your help.",you're very welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're very <unk> <eos>
3,where is the nearest gas station?,there is a 76 76_distance away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there which you like 76_distance away <eos>
4,where is the nearest gas station? there is a 76 76_distance away. what is the address?,the 76 gas station is located at 91 el camino real. it is 76_distance away through moderate traffic,<pad> <pad> <pad> <pad> located closer located at 91 el camino real it is 76_distance away through moderate traffic <eos>
5,where is the nearest gas station? there is a 76 76_distance away. what is the address? the 76 gas station is located at 91 el camino real. it is 76_distance away through moderate traffic thanks!,anytime!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <eos>
6,show me the closest location where i can get chinese food,"the closest chinese restaurant is pf changs, located P.F._Changs_distance away.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> panda changs is P.F._Changs_distance away <eos>
7,"show me the closest location where i can get chinese food the closest chinese restaurant is pf changs, located P.F._Changs_distance away.  ok, please give me an address and directions via a route that avoids all heavy traffic.",p.f. changs route set to 669 el camino real with only P.F._Changs_traffic_info noted.,<pad> <pad> <pad> <pad> <pad> <pad> <unk> changs route set to 669 el camino real with only P.F._Changs_traffic_info noted <eos>
8,"show me the closest location where i can get chinese food the closest chinese restaurant is pf changs, located P.F._Changs_distance away.  ok, please give me an address and directions via a route that avoids all heavy traffic.  p.f. changs route set to 669 el camino real with only P.F._Changs_traffic_info noted.  thank you","you're welcome. drive safely, and enjoy.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome drive safely and enjoy <eos>
9,"hi, please set up a reminder for my dinner on the 11th at 4pm with my sister. thanks!",set! have a good time,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> have a good time <eos>
10,what time is dinner and who is it with?,dinner is at 7 pm with dinner_party.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> with on is at 7 pm with dinner_party <eos>
11,"what time is dinner and who is it with? dinner is at 7 pm with dinner_party. okay, perfect! thanks.",you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
12,schedule dentist appointment,when is your dentist appointment,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you want <pad> dentist appointment <eos>
13,schedule dentist appointment when is your dentist appointment it is on sunday at 2 pm.,i have put on your calendar a dentist appointment on sunday at 2 pm.,<pad> <pad> <pad> <pad> <pad> i have put on your calendar a dentist appointment on sunday at pm pm <eos>
14,check forecast for new york,"the weather this week will be hail and rain on thursday and new_york_sunday, with the lowest temperature being 20f and the highest 90f, monday will be the only hot day.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and the high hot 60f <eos>
15,"check forecast for new york the weather this week will be hail and rain on thursday and new_york_sunday, with the lowest temperature being 20f and the highest 90f, monday will be the only hot day.  will it be overcast on new_york_friday?",on new_york_friday it will be cloudy on new york,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> on new_york_friday it will be cloudy on new york <eos>
