inputs,outputs
will it rain next week what city are you interested in? exeter please.,it will rain on exeter_wednesday next week in exeter.
set a reminder for doctors appointment on august 14th at 4pm with my sister,reminder for doctors appointment on august 14th at 4pm with your sister is set
"can you please take me to a coffee house you best bet for coffee is Coupa_distance away at coupa located at 394 van ness ave.  what is the traffic like, and can you send me directions?",there is Coupa_traffic_info on the way to coupa at 394 van ness ave. anything else?
when is the football? the football game is football_activity_date at 9 am.  who is going?,alex will be at the football activity on football_activity_date at 9 am.
"show me the direction to the closest mall we are Stanford_Shopping_Center_distance away from stanford shopping center: send you the address on screen? yes, please, if it's the best location send me the quickest route on screen showing you the route to stanford shopping center. thanks.",you're welcome. the shopping center is located at Stanford_Shopping_Center_addressive.
is snow forecasted this week,where are you currently located?
is the weather overcast in grand rapids now?,right now in grand rapids the weather is not overcast.
"car i need a parking garage in the area, please find something for me the closest parking garage is Palo_Alto_Garage_R_distance away and the name of it is palo alto garage r. send me the address now.",its address is Palo_Alto_Garage_R_address
"will it be humid in inglewood during the next few days? today is dry, inglewood_wednesday will have clear skies, and there will be drizzle in inglewood on tuesday.  thanks.",anytime.
set a reminder for lab work on the 12th,a reminder has been set for lab work on the 12th.
schedule tennis for 10am on the tenth with tom setting reminder for tennis at 10 am on the tenth with tom. thanks.,my pleasure.
i need directions to a grocery store,the nearest grocery store is willows market which is 1 mile away with Willows_Market_traffic_info.
what time is the exercise class,your next yoga activity is at 2 pm
"what is the date of my next tennis activity and who will be attending? you have two tennis appointments scheduled for the same time and date; both on tennis_activity_date at 11 am but one with father and one with jeff. is that a problem? no. everything is fine, thank you.",you're welcome.
"i need the quickest route to a coffee shop.  there is philz which is currently Philz_distance away from your current location. is there a quick route to reach it? yes there is a short route, plotting the shortest route now.  what's the address of the location? philz is at 583 alester ave, Philz_distance away in heavy traffic. setting navigation now thank you car!",you're welcome!
what is the weather like today,what city would you like the weather forecast for?
is it gonna be hot on los_angeles_saturday in los angeles?,the high temperature in los angeles should reach 40f on los_angeles_saturday
"please give me the address and directions via a route with no traffic to a nearby grocery store.  sigona farmers market is located at 638 amherst st, 6 miles away in Sigona_Farmers_Market_traffic_info. would you like directions there? yes, please.  setting navigation to sigona farmers market now.  thank you car!",you're welcome!
"quickest route to home please. the quickest route home is an 8 mile drive through home_traffic_info. okay, remind me of my address please",the address is home_address
is it currently rainy in fresno,"no, in fresno the weather is foggy now"
is it going to rain in the next few days tell me when what city are you asking about? san francisco.,it's gonna rain today in san francisco
find a coffee place,we are Philz_distance away from philz: set the gps to go there?
find out the date and time for my dentist appointment,you have two dentist appointments scheduled. one on dentist_appointment_date at 5pm and another on the 3rd at 11am.
"remind me about my optometrist appointment with my father on the 29th, at 7 pm okay, i will be sure to remind you about that. is there anything else? list my current reminders.",you have an optometrist appointment on the 29th at 7pm. your father is attending
"tell me the weather forecast for this week what city do you need this weekly forecast for? manhattan, please. there will be clear skies?",there will be clear skies in manhattan on manhattan_wednesday
directions to the nearest takeout chinese restaurant,we are tai_pan_distance away from tai pan: does it sound good to you?
find out if alhambra will be dry this week alhambra will be dry on alhambra_saturday. thanks.,you're welcome anytime.
"i need a reminder for the dinner later this week.  sure, what time is your dinner at? set the dinner for 10 am with marie. later this week like i said before, thanks. i will set a reminder for dinner at 10 am with marie later this week, what day exactly?  for saturday please.",setting a reminder for your dinner with marie at 10 am on saturday.
will there be a blizzard in seattle over the next 7 days?,"no, it's not gonna be any blizzard in seattle during the next week"
take me to the nearest starbucks please,"there is no starbucks nearby, but palo alto cafe is Palo_Alto_Cafe_distance away. would you like to go there?"
find me a local hotel in my area. hotel keen and the clement hotel	 are near. which has less traffic?,there is moderate traffic on the way to hotel keen and The_Clement_Hotel_traffic_info to the clement hotel. should we go to hotel keen?
"check forecast for today and tomorrow what city would you like the forecast for? los angeles. in los angeles, it will rain today with a low of 40f and a high of 60f.  tomorrow will be rainy between 70-90f. thank you.",you're welcome.
i need a rest stop.,"four seasons, hotel keen, and the clement hotel are all near."
i'm desiring to eat at some chinese restaurant: is there any in the area? there are mandarin roots Mandarin_Roots_distance away and jing jing 6 miles away: which one would you like to try? the one with the quickest route.,there is Mandarin_Roots_traffic_info on the way to mandarin roots. would you like to navigate there now?
what is the weather like today and tomorrow what city do you want to know the weather for? is the weather overcast in seattle today? today's forecast calls for clear skies in seattle. thanks,anytime.
"need a coffee place within 4 miles with the quickest route. starbucks is Starbucks_distance away. that's good, please pick the fastest route to go there",setting gps for quickest route. do you need any more info?
when is my yoga?,your yoga class will be this tuesday at 4pm with marie.
info for lab appointment,"your lab appointment is on lab_appointment_date at 1 pm, marie will be attending."
"i'm looking for a place to eat can you show me directions to the nearest fast food restaurant the nearest fast food restaurant is round table, would you like directions? yes please, the address. the round table pizza restaurant is located at Round_Table_address is this within 3 miles? if so please give me route details. yes round table is located Round_Table_distance away with heavy traffic at 113 anton ct.  thank you car, set the fastest route to go there please","i've picked on the screen the fastest route for you, drive carefully!"
how many hotels are around here i see 2 nearby hotels including four seasons and the clement hotel.  give me the info for the one that has the quickest route. the quickest route is for the four seasons hotel which is Four_Seasons_distance away with heavy traffic. the address is 465 arcadia pl. thank you.,you're welcome!
"on my calendar set a time for tennis at 12 pm okay, what calendar date should i set a reminder for tennis at 12 pm? set the reminder for tennis to be on the august 12th.",i have set a reminder for august 12th at 12 pm for tennis. will that be all?
remind me that i have a doctors appointment at 5 pm,"okay, for what day should i set your 5 pm reminder for a doctor's appointment?"
"set a reminder to see my dentist at 12 pm tomorrow okay, setting a reminder to see dentist at 12 pm tomorrow thank you",you are welcome
"what are some nearby hotels i have one hotel listed Hotel_Keen_distance away. what info would you like on it? send me its address and pick a route to avoid all heavy traffic please then we're navigating to hotel keen, its address is 578 arbol dr. there is Hotel_Keen_traffic_info and you should be able to reach in just few minutes that sounds good, thank you car!",you're welcome!
"car i need to get at my friends house near my current location, please send me their address on the screen",tom lives at 580 van ness ave.
where is the closest place to eat,there is a pizza restaurant 3 miles away and a couple chinese restaurants a little farther. what would you like to eat?
"get the address to my home that is within 3 miles and hurry. your home is home_distance away, i sent its position on your screen, drive carefully! what is the address? the address is home_address thanks sounds great.",you're welcome!
what time is my next football activity and who will be attending? your next football activity is with football_activity_party at 4pm. do you need the date as well? no that will be all.,happy to help
what is the temperature,what city would you like the temperature for?
set reminder to make doctor's appointment,"ok, when should i schedule a reminder to make your doctor's appointment?"
what will the weather be like tomorrow,where can i give you the weather forecast for?
"what is the weather going to be today and tomorrow what city would you like the weather for? compton, please! it will be between 70-90f on monday and 90-100f on compton_tuesday in compton. thank you.",you're welcome.
is snow forecasted this week where are you currently located? will it snow in redwood city? there will be no snow for redwood city this week.  thanks,my pleasure.
"where can i get tea? i have two locations you could purchase some tea at. which would you prefer? i'd like to give a name to these two ""locations"" and maybe an address, thanks! okay, both palo alto cafe and teavana are near.  which one has no traffic on our way? palo alto would be better as it only has Palo_Alto_Cafe_traffic_info and teavana is heavy traffic.  would you give me the address for the palo alto cafe and set the quickest route there please? the quickest route noted is to Palo_Alto_Cafe_address. do you want me to set the navigation? yes please. thank you.","you're welcome, have a good day."
where can i get chinese food?,"there are two restaurants within P.F._Changs_distance; however, one has a road block nearby. the p.f. changs has moderate traffic on the way."
where's the nearest produce stand,we are Safeway_distance away from safeway: do you want its address on screen?
"show me the nearest shopping mall we are Stanford_Shopping_Center_distance away from stanford shopping center: does it sound good to you? give me the address. the address is Stanford_Shopping_Center_address, i sent it on your screen set gps for a route without any traffic.",there is Stanford_Shopping_Center_traffic_info but you should be able to reach it fast anyway
when do i have dinner planned for,your dinner is at 5 pm dinner_date.
"car i wanna go back home, please pick the fastest route! we're home_distance away and there is no traffic on our way, i sent the info on your screen thanks, what is the address? your home is at home_address. thanks, let's go there.",sounds good. have a great day.
is there dew on the weekend what city are you inquiring about? san mateo. there will not be dew this weekend in san mateo. thank you. anytime. that will be all.,have a great day.
check the date and time for my swim lesson,"2pm, thursday"
"what time is my tennis activity and who is attending? you have two tennis activities scheduled on different dates. both are at 5pm with your tennis_activity_party. would you like to know the dates? yes, that would be helpful. one is on monday and one is on tennis_activity_date.  thanks!",you're welcome.
check out my appointment,"check appointment for doctor, optometrist or dentist?"
car i need to get to a shopping center: please pick the quickest one around here the closest shopping center to you would be ravenswood shopping center at Ravenswood_Shopping_Center_address. i need a route with no traffic please.  i have one route with Ravenswood_Shopping_Center_traffic_info. that is fine. thank you,"okay great, we will navigate there then. anything else?"
